CALLID,adaptedasr_trans,adapted_person,adapted_location,adapted_time,transcript,ner_person,ner_location,ner_time
cs04M-RE369dd60dba400abac1067dd994882cda_B_081690_087985,"about a yeah and the this is of course something that can be scaled to to deliver 
",[],[],[],about a yeah and the this is of course something that can be scaled to the whole world.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_088950_091745,"but right now it's only a local thing 
",[],[],[],but right now it's only a local thing.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_093560_094735,"perfect 
",[],[],[],in the part of the country.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_104380_109335,"no no no no they didn't only that particular country to one project 
",[],[],[],no no no no they didn't only that particular country to one project.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_149480_151655,"hi <unk> it's <unk> 
",[],[],[],no no no it's they are prepared.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_152700_154085,"bye 
",[],[],[],they are prepared for us.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_154990_157495,"yeah super so i hope you guys enjoy it 
",[],[],[],yeah super so i hope you guys enjoy it.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_167690_173315,"yeah yeah yeah but but i will call you about it little bit later because i have to run now i'm sorry 
",[],[],[],yeah yeah. but but i will call you about it it a bit later because i have to run now i am sorry.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_175340_176305,"i have to run 
",[],[],[],yeah i have to run.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_177460_181355,"sorry i will call you i will call you in the afternoon about that okay 
",[],[],[],yeah sorry i will call you i will call you in the afternoon about that okay.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_182440_183095,"sure 
",[],[],[],bye cheers.,[],[],[]
cs04M-RE38aaddde0bfdfe51546a1f48f0022516_B_001480_002415,"cool 
",[],[],[],this is jakub.,['jakub'],[],[]
cs04M-RE38aaddde0bfdfe51546a1f48f0022516_B_039830_053225,"yeah yeah i'm sorry sorry just one thing again you you catch me in the in the shop i am shopping right now and i'm just going to the cashier can we please discuss it in the office later today 
",[],[],[],ja yeah okay just sorry sorry just one thing again you you catch me in the in the shop i am shopping right now and i'm just going to the to the cashier can we please discuss it in the office later today.,[],[],['today']
cs04M-RE38aaddde0bfdfe51546a1f48f0022516_B_056310_062105,"yeah i will be in the office from one o'clock so we can we can discuss it out you may be better 
",[],[],"[""one o'clock""]",yeah yeah i'll be i'll be in the office from one o'clock so we can we can discuss there so it may be better.,[],[],[]
cs04M-RE38aaddde0bfdfe51546a1f48f0022516_B_062680_066205,"hello coffee okay thank you thank you bye <unk> ciao 
",[],[],[],can i have a coffee okay thank you thank you tchao tchao.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_002830_005105,"hi adam ciao so do you have a 
",['adam'],[],[],hi adam sorry to interrupt you do you have a minute.,['adam'],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_009430_025675,"yeah okay i i i call you about something and you will not believe believe me this is this is completely ridiculous but this is this is it so regarding your trip to netherlands and your business you know how is it called the business report oh no no the travel report 
",[],['netherlands'],[],yeah okay i i i call you about something and you will not believe believe me this is this is completely ridiculous. but this is this is it so regarding your trip to netherlands and your business you know how is it called the business report oh no no the travel report.,[],['netherlands'],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_026220_026795,"so 
",[],[],[],so.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_027480_028835,"<unk> 
",[],[],[],there is a new rule.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_029610_032945,"and this is coming from from the management 
",[],[],[],and this is coming from from the management.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_033600_040355,"that when you make a trip to to a nice country with a nice beer 
",[],[],[],that when you make a trip to to a nice country with a nice beer.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_041340_043695,"you actually pay the company fee 
",[],[],[],you actually pay the company fee.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_044170_049095,"because its part of your like experience it's part it's like not your company benefit 
",[],[],[],because its part of your like experience it's part it's like not your company benefit.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_050580_051115,"so 
",[],[],[],so.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_051690_059805,"so they basically the reimbursement which was there before er is not there any more but now this this is deducted from your 
",[],[],[],so they basically the reimbursement which was there before er is not there any more. but now this is this is deducted from your.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_060620_062715,"from your from your salary 
",[],[],[],from your from your salary.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_114810_118925,"okay 
",[],[],[],sorry but this is it i'm sorry this is it.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_120910_126085,"if you if you like you can go to ugly places that thank you bye 
",[],[],[],yeah. but if you like you can go to ugly places and then you get your reimbursement.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_126840_129915,"different places like this it's like that 
",[],[],[],but for beautiful places like this it's like that.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_130840_134465,"also they take away your vacation days so you know 
",[],[],[],and also they take away your vacation days so you know.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_135310_139285,"we had four weeks of vacations so now we will be deducted 
",[],[],['four weeks'],we had four weeks of vacations so now these will be deducted.,[],[],['four weeks']
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_148300_154445,"okay okay okay adam so thank you i i i'm glad that you to took it so nicely 
",[],[],[],ha okay okay okay adam so thank you i i i'm so glad that you to took it so nicely.,['adam'],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_155090_158515,"and a nice day 
",[],[],[],and i hope you have a nice day ciao ciao.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_000441_001235,"hello 
",[],[],[],hello hello.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_005440_007275,"yeah yeah hi hi how are you 
",[],[],[],yeah yeah. hi hi.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_012860_013465,"yeah 
",[],[],[],yes.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_014760_023265,"i am working but right now i'm in the shop actually buying something for my trip tomorrow but i am working 
",[],[],[],i am working but right now i'm in the shop actually buying something for my trip tomorrow. but i am working yeah.,[],[],['tomorrow']
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_043810_044395,"okay 
",[],[],[],okay.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_050100_053895,"you mean that partner from serbia 
",[],['serbia'],[],you mean that partner from serbia.,[],['serbia'],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_057150_059735,"yeah yeah so 
",[],[],[],yeah yeah yeah . so.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_060490_069095,"sorry just one one question you are asking me if i i i can provide some expertise on how the model can be improved right 
",[],[],[],just sorry just one one question. you are asking me if i i i can provide some expertise on how the model can be improved right?,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_104835_131297,"oh i see i see i see thank you for the question so if it's not in the scope of what they what they already purchase but it is definitely something we can discuss with them and maybe they can put in the budget for next year or something like that like for my perspective that would be totally fine i would explain them what can be done with unsupervised <unk> adaptation 
",[],[],['next year'],i see i see i see. thank you for the question. so if it's not in the scope of what they what they already purchase but it is definitely something we can discuss with them and maybe they can put it maybe i don't know a budget for next year or something like that. like for my perspective that would be totally fine. i would explain them what can be done with unsupervised f p t adaptation.,[],[],['next year']
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_132240_143447,"and they can see for themselves if they see the potential of improving the system or if the that would be interesting for them and then we can discuss a bit <unk> 
",[],[],[],and they can see for themselves if they see the potential of improving the system or if the that would be interesting for them and and he can discuss a bit this point of view.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_144600_152025,"so basically i'm not sure hold on if you could or did you already told them how the unsupervised training adaptation worked 
",[],[],[],so so basically i'm not sure hold on if you could or did you already told them how the unsupervised training adaptation worked?,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_176050_177845,"perfect 
",[],[],[],fantastic fantastic.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_179330_186895,"okay okay great i i have to go now sounds like a plan that pretty so let me know how to call one after 
",[],[],[],okay okay great. i i have to go now sounds like a good plan. at least let me know how to call one after.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_187840_188645,"thank you thank you 
",[],[],[],thank you. thank you.,[],[],[]
cs04M-RE7c6a9aa13e72ebbb390f429a53d7b0f5_B_189740_191755,"thank ciao ciao cheers 
",[],[],[],thank. ciao ciao. cheers.,[],[],[]
cs04M-RE7f94d8316d8fffc7756ee70208b5cedf_B_001750_003355,"hello this is <unk> speaking 
",[],[],[],hello this is jakub speaking.,['jakub'],[],[]
cs04M-RE7f94d8316d8fffc7756ee70208b5cedf_B_006420_007355,"okay 
",[],[],[],hi there michal.,['michal'],[],[]
