CALLID,transcript,ner_person,ner_location,ner_time,manual_person,manual_location,manual_time
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_078910_079355,yeah.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_082722_085525,maybe also the prices will go up. supposedly.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_083030_083945,yeah.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_084970_089825,yeah. definitely it's. one point is when we can give you more.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_090340_094925,so let's say we are close to finish the plan how how to do it. so.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_090610_091105,,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_095410_106008,I think right now we are quite sure that the new mule is in the place. then it will be basically up to you. and then we need to really agree on on the pricing because.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_101880_102385,,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_106220_106805,okay.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_106254_116995,you know. this this first shot was just for for free and to set up the let's say market. but next time we we really need to agree on the pricing.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_115540_123380,yeah. yeah. we just. we just shouldn't scare them away. right? I mean. I I I I don't know what's the better way to do it. to to increase prices.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_119310_119765,yeah.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_123709_135453,step by step or do a larger step right now I mean now we have people's attention and they're really eager to get more. you know this this is really the cool stuff right now so it's the first wave of new users,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_135740_136764,yeah. yeah.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_135757_139764,I think we can afford to go up a little bit. quite a little bit I mean at the beginning.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_138850_145425,yeah. you know. for me. end user price is up to you. but .,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_144510_145285,okay.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_145949_154801,my idea just between us to make the business is like for ten. yes? so like to agree on on ten and.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_152190_153005,okay.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_155080_155917,,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_156156_162980,if you will multiply it twice or more it's completely up to you to cover my people and me,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_163300_166716,it's like I would like to set up the price which I think is,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_166978_169705,is good. it's the the actually,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_170300_173425,good for everyone. it's like ten. but. we can.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_171850_178210,yeah I. I I I think yeah I. yeah I think we can live with that. we can live with that provided that the transport is safe.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_178559_184935,and it's continuous and we're not running into any delays with the deliveries. I think we we'd be good.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_185520_187052,okay. perfect. so.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_187418_194920,I will. I will get in touch with with my guys and I think like by the end of the next week you will get.,[],[],['the end of the next week'],[],[],['the end of the next week']
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_195225_200585,you will give anothar another round of candies at at your house,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_197940_207378,yeah. I'll have the first high hight level users the first ones who who consume most I'll have waiting for that by then. so please don't delay it.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_208386_213725,we we should spread the word even further and get some more nice younger people on board as well.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_211709_212384,yes.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_214160_221830,I see. I see. we will even finalize over the week. maybe in text messages it will be even better.,[],[],['the week'],[],[],['the week']
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_219990_220505,yeah.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_222166_222867,,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_222170_222865,okay.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_223291_226152,how much you want. yeah?,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_224560_227970,exactly. you can. you. we can go on other platforms as well.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_228183_231351,you know my my user I D s. you know my accounts,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_231572_235365,so. yeah. we can also use other channels to communicate if that's safer.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_236910_238135,okay. cool.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_238320_239375,great.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_238830_240525,cool. everything from my side.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_240720_244795,okay. no. we're good to. we're good to. we're looking for more. good business man.,[],[],[],[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_245530_248302,have a nice afternoon. see you. bye.,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_245823_246126,,[],[],[],[],[],[]
de03M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_A_246777_249570,okay. take care. bye. bye.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_001530_002225,hey Kuba.,['Kuba'],[],[],[],['Kuba'],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_002830_005105,hi Adam Sorry to interrupt you Do you have a minute.,['Adam'],[],[],['Adam'],[],['a minute']
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_004470_005545,I have a minute.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_007000_008845,yeah yeah yeah Go ahead.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_009430_025675,yeah okay I I I call you about something and you will not believe Believe me this is this is completely ridiculous. but this is this is it So regarding your trip to Netherlands and your business you know how is it called the business report oh no no the travel report.,[],['Netherlands'],[],[],['Netherlands'],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_026220_026795,so.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_026770_027255,yeah.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_027480_028835,there is a new rule.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_029610_032945,and this is coming from from the management.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_033600_040355,that when you make a trip to to a nice country with a nice beer.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_041340_043695,you actually pay the company fee.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_044170_049095,because its part of your like experience It's part it's like not your company benefit.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_049230_052735,aha Well that I a ha ha.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_050580_051115,so.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_051690_059805,so they basically the reimbursement which was there before er is not there any more. but now this is this is deducted from your.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_056100_056935,yeah.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_058150_058735,then.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_060620_062715,from your from your salary.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_062440_074815,no wait a minute I mean the per diem yeah first of all come on you know the per diem the per diem is set by the by the national government right So the per diem you know the money I have when I'm there.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_075310_086895,I mean you know the Hague is a really expensive place You go out you take a breakfast lunch dinner you're you're already fortyfive fifty euros in Then I wouldn't go for beers you you.,[],[],[],[],['the Hague'],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_087380_089985,got it The per diems really don't even cover.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_090570_116845,cover the daily meals in some of these countries yeah Everybody thinks party on this is travel but you're staying in a weird hotel You are sleeping on a funny pillow You know on the roads People get oh it's crazy tired working with stuff you know that that the the per diem isn't really even enough as it is no way no way Kuba They can't they can't take away part of my per diem yeah that's mine to spend how I need .,['Kuba'],[],[],[],['Kuba'],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_114810_118925,sorry but this is it I'm sorry this is it.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_120000_122165,okay Well we will have to start a revolution.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_120910_126085,yeah. but if you like you can go to ugly places and then you get your reimbursement.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_126840_129915,but for beautiful places like this it's like that.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_130710_132195,okay.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_130840_134465,and also they take away your vacation days so you know.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_133790_134425,,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_135310_139285,we had four weeks of vacations so now these will be deducted.,[],[],['four weeks'],[],[],['four weeks']
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_135810_136235,so.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_140560_147085,so I'll go to if I go to Hague if I go somewhere like Hague I I'll get an extra week of vacation and a hundred dollars a day.,[],[],[],[],"['Hague', 'Hague']",[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_140910_141415,,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_147760_148405,okay.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_148300_154445,ha okay okay okay Adam So thank you I I I'm so glad that you to took it so nicely.,['Adam'],[],[],['Adam'],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_150510_151225,,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_154590_156205,you know that's how we do it.,[],[],[],[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_155090_158515,and I hope you have a nice day ciao ciao.,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_157120_158025,,[],[],[],[],[],[]
en01M_NT-RE63fd4cc409a80d86f7511f5cda63c598_B_158510_160475,a bye Kuba ciao ha.,['Kuba'],[],[],[],['Kuba'],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_001450_002025,hello.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_002776_005720,ciao ciao Adam so do do you have a minute.,['Adam'],[],[],['Adam'],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_007080_014925,yeah It's not a problem It seems that I got fifteen minutes yeah I I just got some tea on and cooking some eggs here so but I got some time yeah go.,[],[],['fifteen minutes'],[],[],['fifteen minutes']
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_015250_017935,so three you have some some peas on what.,[],[],[],[],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_018355_022175,some tea I'm doing some god kettle on to make you some tea.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_020062_020572,be on.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_021559_025158,okay okay good good good.,[],[],[],[],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_022534_028815,mint mint tea and I have some few eggs cooking to have me a little some do it.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_026853_027527,okay.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_029141_034853,Adam I I let the blu ray on your desk with cope your enthusiasm.,['Adam'],[],[],['Adam'],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_035921_037418,yeah.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_036455_088282,so you have it on your desk when you have time. and there's something I want to tell you about it because it's just so brilliant I yesterday evening I watched the some interview with Larry David. and That's so fantastic because you know how they did uh I find found out why is it so natural Like the way how they speak like all the dialogs it looks like really ly real life. and the reason for it is that they actually don't have a script with like all the phrases word by word They just have a script like saying like Jakub called Adam. and they discuss the problem that something happened there there you know. and everything is improvisation there.,"['Larry David', 'Jakub', 'Adam']",[],['yesterday evening'],"['Larry David.', 'Jakub', 'Adam.']",[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_039531_040251,yeah.,[],[],[],[],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_085333_094772,so you mean it's like total ad lib Imprive improvisation ad lib waouh ad lib ad lib imprive impro hello.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_088839_090441,sorry sorry Can you repeat.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_092577_093077,hello.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_095294_096536,you are breaking up a bit.,[],[],[],[],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_097198_104025,sorry So it's all ad lib yeah That's what we call ad lib right Impriva improvisation right Well.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_103247_134013,it's all like they only write like one episode which is thirty minutes It has like just a couple of pages of the basic script. and every thing else is improvisation. and all the jokes there are improvisation and all the laughs there are because somebody really laughed or something that the other ehm side said and they didn't know about it in advance So that is why it's so natural It's like it's totally brilliant It's amazing.,[],[],['thirty minutes'],[],[],['thirty minutes']
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_129822_130368,well.,[],[],[],[],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_133654_145890,well it's not easy to do that stuff yeah It reminds me there is great English comedian pair I guess what are their names Paul would know They were similar like this.,['Paul'],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_144753_145623,Jimmy Carr.,['Jimmy Carr'],[],[],['Jimmy Carr .'],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_146715_167613,I can't remember who they are the two guys One of them went out to became quite some famous actor. but a similar thing yeah they would get up they they will do stand up in front of together The two of them stand up in front of a huge audience They really didn't have a a set they didn't have a set monologue or a dialogue or anything They just get up and go That was nuts They you have to be really creative to do that though it's not easy you know.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_157837_158429,,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_167334_176657,yeah I would never never ever be able to to call you and speak about something without a script I cannot do improvisation I am not good at you know.,[],[],[],[],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_168275_168913,I imagine.,[],[],[],[],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_174149_202001,yeah yeah yeah I I'm not much for either for it be hard but but hey so you know some people know how to do it you know. but so the blu ray is on my desk I'll I'll take a watch and and it's good it's on blu ray Blu ray is the best I'll take a look at that and I think I still have a blu ray player next to my V H S player I I I'll take a look at in the and I'll let you know how I liked it looking forward.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_185318_186038,on your desk.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_189660_190705,yeah yeah yeah.,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_195175_199529,,[],[],[],[],[],[]
cs04M-REbd2309fff4360f7a6c6fa03a8862c779_A_201061_205810,enjoy it enjoy it ciao ciao ciao Have a nice weekend Adam Bye.,['Adam'],[],[],['Adam'],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_202756_203592,will do yeah.,[],[],[],[],[],[]
en01M_NT-REbd2309fff4360f7a6c6fa03a8862c779_B_204335_206947,good Talk to later You too ciao. bye.,[],[],[],[],[],[]
vi01M-REc38a70912e6f3f242aa7a6778a471a4d_B_000109_001329,hi.,[],[],[],[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_002167_004925,hello. so how's life? well-being?,[],[],[],[],[],[]
vi01M-REc38a70912e6f3f242aa7a6778a471a4d_B_005318_007559,yeah. fine. you know me?,[],[],[],[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_008233_013115,yeah. hey I need another one but more this time. would it be double?,[],[],[],[],[],[]
vi01M-REc38a70912e6f3f242aa7a6778a471a4d_B_013661_016521,okay. price base plus fifteen percent.,[],[],[],[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_017086_020456,that's too much ten percent. I take more this time.,[],[],[],[],[],[]
vi01M-REc38a70912e6f3f242aa7a6778a471a4d_B_021676_025319,okay. but it won't be until a month.,[],[],[],[],[],['a month']
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_025793_026940,deal.,[],[],[],[],[],[]
vi01M-REc38a70912e6f3f242aa7a6778a471a4d_B_027633_028726,see you.,[],[],[],[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_001734_002602,hi.,[],[],[],[],[],[]
ru01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_002600_004195,where are you?,[],[],[],[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_003989_010389,I'm already in Hrouda. I finished school at as usual at fourteen fifteen.,[],['Hrouda'],['fourteen fifteen'],[],['Hrouda'],['fourteen fifteen']
ru01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_010774_017520,it's weird. the whole school ended a little earlier ten minutes after the start of the class. I'm just at home.,[],[],[],[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_018079_020450,I'm going from Dukla for money.,[],['Dukla'],[],[],['Dukla'],[]
ru01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_020758_022262,what about the dick?,['dick'],[],[],[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_022474_055530,I filled out a questionnaire with him. an application. he's already sent it. he'll receive a statement on the result tomorrow and if he does I'll meet him. give him a card. he'll then go back to school and give me the money. but I have to find out if he has an account. the taxes and other things. he can use the information I gave him but he also needs to have my card.,[],[],[],[],[],['tomorrow']
ru01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_055690_059165,what happens if he gives you confirmation tomorrow?,[],[],[],[],[],['tomorrow']
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_059211_072164,it sucks me so it's all one hundred percent. if he receives the confirmation tomorrow it is realistic that we will receive money hundred percent.,[],[],[],[],[],['tomorrow']
ru01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_073301_076809,so we need about two hours after school to get him for the money.,[],[],[],[],[],['about two hours']
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_077011_085618,I hope that everything will be normal. it is an eighteen year old Czech girl and the dick is trustworthy.,['dick'],[],[],[],[],['eighteen year old']
ru01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_085772_088507,yeah yeah yeah. hope so.,[],[],[],[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_088740_096855,what are we going to do now? Felix is in Florence in an hour. around half past three.,['Felix'],['Florence'],['half past three'],['Felix'],['Florence'],"['an hour', 'around half past three']"
ru01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_097240_101751,look I have to paint and move the furniture so come help.,[],[],[],[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_102560_105008,well I can do it in two hours.,[],[],[],[],[],['two hours']
ru01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_105220_106974,then I have to go to work.,[],[],[],[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_107032_110733,I'll try it as soon as possible.,[],[],[],[],[],[]
ru01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_110510_111985,okay. see you.,[],[],[],[],[],[]
na-RE5a63bc89e183634e9e8d08aa0c46d1fe_A_114375_114819,,[],[],[],[],[],[]
cs04M-RE38aaddde0bfdfe51546a1f48f0022516_B_001480_002415,this is Jakub.,['Jakub'],[],[],[],[],[]
cs11M_NT-RE38aaddde0bfdfe51546a1f48f0022516_A_003650_008090,hello Jakub this is this is Yan I'm calling to reach out um.,"['Jakub', 'Yan']",[],[],"['Jakub', 'Yan']",[],[]
cs11M_NT-RE38aaddde0bfdfe51546a1f48f0022516_A_008547_040761,nice nice Good to hear you again Ah I'm calling you about or regarding the partner from Serbia We had a call yesterday about and I wanted to just discuss with you view of concern of the meeting you know I I've got the meeting with them and explain the potentials of improving S T T model adaptation.,[],['Serbia'],['yesterday'],[],['Serbia'],['yesterday']
