CALLID,ASR,ASR_boosted,asr_ner,asr_boosted_ner,asrbaseline_person,asrbaseline_location,asrbaseline_time,transcript,ner_person,ner_location,ner_time
cs01M-RE39bb514341e2cb86d79c07a177bbc0bf_B_011438_012015,,,,,[],[],[],,[],[],[]
cs01M-RE4971679ba55a28460b19a5635505f241_B_000744_001550,"yeah
","yeah
",,,[],[],[],yes?,[],[],[]
cs01M-RE4971679ba55a28460b19a5635505f241_B_006555_007254,"okay
","okay
",,,[],[],[],okay.,[],[],[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_000437_001277,"hi
","hi
",,,[],[],[],hi.,[],[],[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_003192_009486,"uh yeah it's fine i do know or if it's possible to pick my boss
","uh yeah it's fine i don't know if it's possible to pick my boss
",,,[],[],[],yeah it's fine. do you know if it‘s possible to send a package by bus?,[],[],[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_011347_013901,"i went to finish from birth to rock
","i want somebody to talk
",,,[],[],[],i want to send it from brno to prague.,[],"['brno', 'prague']",[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_018125_022221,"great thanks uh did you want something
","great thanks or did you want something
",,,[],[],[],great thanks. did you want something?,[],[],[]
cs01M-RE498ea142fcadaa1de7c50f672b328fa0_B_025833_028022,"might not cool
","might not cool
",,,[],[],[],why not. call.,[],[],[]
cs01M-RE54260404ef626cec2d882859a4a930db_A_000700_002687,"really come to me
","come to me
",,,[],[],[],will you come to me?,[],[],[]
cs01M-RE54260404ef626cec2d882859a4a930db_A_005195_014660,"okay uh go to guy from school from the kitchen cooking and that he may be need uh fifty or a week
","okay uh go to guy from school from the kitchen cooking and that he maniny uh fifty a week
",[[]],[[]],[],[],[],okay. call the guy from school from the kitchen kuki and tell him we need fifty to hundred in a week.,['kuki'],[],[]
cs01M-RE54260404ef626cec2d882859a4a930db_A_017258_018416,"thanks bye
","thanks bye
",,,[],[],[],thanks. bye.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_001734_002602,"i
","i
",,,[],[],[],hi.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_003989_010389,"i'm in hollywood i finished finished school at that's usually at fourteen fifteen
","i'm a little older i finished finished school at this user let a fourteen fifteen
","['hollywood', [], []]","[[], []]",[],['hollywood'],"['fourteen', 'fifteen']",i'm already in hrouda. i finished school at as usual at fourteen fifteen.,[],['hrouda'],['fourteen fifteen']
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_018079_020450,"oh i'm bringing from do for money
","oh i'm calling from dukla for money
",,['dukla'],[],[],[],i'm going from dukla for money.,[],['dukla'],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_022474_055530,"i fill out questionnaires him an application descended uh he'll let me see uh state men under his own tomorrow if he i'll medium easy mccarthy era or then go back to school and give me the money but i have to find out uh e._d._s. and i called the texas and other things he can use the information i gave him but uh he also needs to have my card
","i fill out a questionnaire him an application descended uh he sees a statement under his own tomorrow if he'd a medium easy mac are ill are going to go back to school and give me the money but i have to find out uh e._d._s. and i called the texas and other things he can use the information i gave him but uh he also needs to have my katka
","[[], 'mccarthy']",['katka'],['mccarthy'],[],['tomorrow'],i filled out a questionnaire with him. an application. he's already sent it. he'll receive a statement on the result tomorrow and if he does i'll meet him. give him a card. he'll then go back to school and give me the money. but i have to find out if he has an account. the taxes and other things. he can use the information i gave him but he also needs to have my card.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_059211_072164,"it affects me ah ah so it's all a hundred percent if he sees the confirmation tomorrow dysentery stick uh the reveal or to save money on the person
","it affects me ah ah so it's a hundred percent if he sees the confirmation tomorrow decided to stick a reveal or to save money on the person
","[[], []]","[[], []]",[],[],['tomorrow'],it sucks me so it's all one hundred percent. if he receives the confirmation tomorrow it is realistic that we will receive money hundred percent.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_077011_085618,"i hope everything there'll be normal descent or eighteen the old and the tickets are wealthy
","i hope everything will be normal to send a eighteen year old kids out and the tickets are wealthy
",,[[]],[],[],[],i hope that everything will be normal. it is an eighteen year old czech girl and the dick is trustworthy.,['dick'],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_088740_096855,"what are we going to do now fixes uniforms in our house by city
","what are you going to do now is uniforms in our house by city
",,,[],[],[],what are we going to do now? felix is in florence in an hour. around half past three.,['felix'],['florence'],['half past three']
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_102560_105008,"well i can do it in two hours
","well i can do it in two hours
",[[]],[[]],[],[],['two hours'],well i can do it in two hours.,[],[],[]
cs01M-RE5a63bc89e183634e9e8d08aa0c46d1fe_B_107032_110733,"outright uh as soon as possible
","outright uh as soon as possible
",,,[],[],[],i'll try it as soon as possible.,[],[],[]
cs01M-RE6202b57bb1bfc98665407848d8166fc1_B_000769_001707,"i
","i
",,,[],[],[],hi.,[],[],[]
cs01M-RE6202b57bb1bfc98665407848d8166fc1_B_013848_033767,"i work two until buster on at night i took fedex so i have to sell everything else uh i just smoke almost do i asked silly or i'm fucked but no i don't know what to do uh i'll probably go home
","i work at a restaurant and i felt so i have to sell everything else uh i just smoke when i moved to where i am too silly or i'm fucked but no i don't know what to do i'll probably go home
",[[]],,[],[],[],i worked until half past one at night. i took felix i have to sell everything else. i just smoke gram or two . i have to sell it or i'm fucked. but now i really don't know what to do. i'll probably go home.,['felix'],[],[]
cs01M-RE6202b57bb1bfc98665407848d8166fc1_B_037654_038711,"so soon
","so saeed
",,['saeed'],[],[],[],so see you.,[],[],[]
cs01M-RE69c74fb9887454f3c70d39e139b18551_B_000873_001402,"yeah
","yeah
",,,[],[],[],yeah?,[],[],[]
cs01M-RE69c74fb9887454f3c70d39e139b18551_B_003462_004544,"i understand
","i understand
",,,[],[],[],i understand.,[],[],[]
cs01M-RE69c74fb9887454f3c70d39e139b18551_B_008727_009649,,,,,[],[],[],proably not.,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_001022_002726,"yeah
","yeah
",,,[],[],[],yeah?,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_004917_007887,"uh i mean they're censoring moments
","uh i mean the same thing
",,,[],[],[],i'm in a center in the moment.,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_011733_014232,"ah i don't have time freak
","ah i don't have time for it
",,,[],[],[],i don't have time for it.,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_017315_019734,"uh for another day
","uh that's pretty good for another day
",,,[],[],[],let's leave it for another day.,[],[],[]
cs01M-RE6ffcbfc3ae55fb994b84e672ff4b512f_B_023921_026095,"no sorry i go
","no sorry i go
",,,[],[],[],no! sorry. i'll call.,[],[],[]
cs01M-RE8a55961ed320886b49971d94c213cb06_B_000669_014429,"hi i'm ah dental steve i said automated station and i'm for that either eat vendetta cookies u._p._c.s the guy so i uh right but then of ego to money
",hostivar,[[]],['hostivar'],[],[],[],hi. i'm at the hostivař railway station and i'm for the driver. he went there to give a few pieces to one guy. so i wait when then we go to maniny.,[],"['hostivař railway station', 'maniny']",[]
cs01M-RE8a55961ed320886b49971d94c213cb06_B_031768_033638,"mm ohio c._n._n. call
","mm i'll see him call
",['ohio'],,[],[],[],i'll see and call.,[],[],[]
cs01M-RE90eb1150a74a11df2aca7019f87df6c8_A_001253_014144,"i i really like different accent uh medium i'll take four and sell them tonight i come to see uh i can be there at uh two or three fifteen
","i i really like different accent a medium i'll take four and sell them tonight i've come to see ah i can be there at uh two or three fifteen
","[[], [], [], []]","[[], [], [], [], []]",[],[],['tonight'],hi. i will write to felix and meet him. i'll take four and sell them tonight. i will come to see you. i can be there at two or three fifteen.,['felix'],[],"['tonight', 'two or three fifteen']"
cs01M-RE90eb1150a74a11df2aca7019f87df6c8_A_022798_024827,"oh good okay
","oh good okay
",,,[],[],[],okey-dokey.,[],[],[]
cs01M-RE90eb1150a74a11df2aca7019f87df6c8_A_029641_031134,"not find you
","i'm fine too
",,,[],[],[],fine. see you.,[],[],[]
cs01M-REbb7953e4e46737c1c46fa9bde97c2c47_A_001643_002642,"i
","i
",,,[],[],[],where are you?,[],[],[]
cs01M-REbb7953e4e46737c1c46fa9bde97c2c47_A_006147_009135,"bought this to bark going
","bought this to bark and going
",,,[],[],[],what? we have to work. where are you going?,[],[],[]
cs01M-REbb7953e4e46737c1c46fa9bde97c2c47_A_016236_016937,"okay
","okay
",,,[],[],[],okay.,[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_002167_004925,"oh so how's life another bank
","oh so how's life in general bank
",,,[],[],[],hello. so how's life? well-being?,[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_008233_013115,"yeah hey i need another round about two much time uh would did be double
","yeah hey i need to know about this time or would it be double
",[[]],,[],[],[],yeah. hey i need another one but more this time. would it be double?,[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_017086_020456,"ah that's too much than person i take more time
","ah that's too much then person i take more time
",,,[],[],[],that's too much ten percent. i take more this time.,[],[],[]
cs01M-REc38a70912e6f3f242aa7a6778a471a4d_A_025793_026940,"mm do you
","mm do you
",,,[],[],[],deal.,[],[],[]
cs01M-REd7a05e52911355d387ffc2e40f7ee4a7_B_000400_001240,"yeah
","yeah
",,,[],[],[],yeah?,[],[],[]
cs01M-REd7a05e52911355d387ffc2e40f7ee4a7_B_007291_015321,"take the bay to go and be be on the sport
","big big debate to go and be be on the sport
",,,[],[],[],take take the bag. go and be be on the spot.,[],[],[]
cs01M-REd7a05e52911355d387ffc2e40f7ee4a7_B_017000_019180,"being the place and go through he m-
","being the place and go through him
",,,[],[],[],be in the place and go to him.,[],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_001005_002251,"i
","i
",,,[],[],[],hi.,[],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_004704_018417,"uh i went to work tomorrow you to go from five they put him uh underground florida at the cash register that does smoke i'm at all so he can uh to to be dead
","uh i went to work tomorrow you want to go from five a date with him a underground florida at the cash register that is smoke i'm at all so he can uh to to be dead
","[[], [], 'florida']","[[], []]",[],['florida'],['tomorrow'],are you going to work tomorrow? ivan goes from five. they put him on the ground floor at the cash register. there is no camera so he can to do speed there.,['ivan'],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_024609_032893,"really gonna locked inside or because i don't want to spend out uh dick
","what are we gonna talk about inside or because i don't want to send out a headache
",,,[],[],[],hlavák but inside because i don't want to stand out a dick.,[],['hlavák'],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_033536_038362,"uh i don't want do uh to meet the junkie dead
","uh i don't want to uh meet the junkie data
",,,[],[],[],i don't want to to meet a junkie there.,[],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_040976_044032,"uh the books
","uh at the box office
",,,[],[],[],leave it at the box office.,[],[],[]
cs01M-REf1097d1ff654a560b387e94ff5bc361f_B_047932_060921,"uh i wouldn't hey ah these like the paper that i have nothing with me or i give you uh the big soda unique
","ah i want to buy a car so i think it depends a lot on paper that i have nothing with me or i give you a topic so unique
",,,[],[],[],i wanted to walk but ok. so i'll take the tram. hey! leave me a lighter and paper there. i have nothing with me. i gave you the bag so leave it in it.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_001040_001835,"hello
","hello
",,,[],[],[],hello hello.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_005640_007095,"oh true
","oh sure
",,,[],[],[],ciao ciao adam.,['adam'],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_010140_016405,"judy i'm i'm sorry i'm sorry i like just real quick and we can call later
","judy i'm i'm sorry i'm sorry i i'm like just real quick and we can call later
",['judy'],['judy'],['judy'],[],[],no truly i'm sorry i'm sorry i like just real quick and we can call later.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_021400_021925,,,,,[],[],[],yeah.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_039680_041005,"okay okay
","okay okay
",,,[],[],[],okay okay.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_063860_070495,"uh i'm gonna be quote each other about this at eleven o'clock twenty six minutes
","uh i'm gonna be cold each other about this at eleven o'clock and twenty six minutes
",[[]],[[]],[],[],"[""eleven o'clock twenty six minutes""]",can you adam can can you call each other about this at eleven o'clock it is in just twenty six minutes.,['adam'],[],"[""eleven o'clock""]"
cs04M-RE068550324df901cab7e942752daf6a64_B_071320_076895,"uh yeah i'm expecting important go right now yeah yeah yeah some somebody scolding
","uh yeah i'm expecting the call right now yeah yeah some somebody scoring
",,,[],[],[],because i yeah i'm expecting important call right now yeah yeah some someone is calling me.,[],[],[]
cs04M-RE068550324df901cab7e942752daf6a64_B_077630_081065,"and uh yeah yeah let's let's be completed deliver
","and uh yeah yeah
",,,[],[],[],and yeah let's speak about it at eleven.,[],[],['at eleven']
cs04M-RE068550324df901cab7e942752daf6a64_B_081820_084295,"okay thank you very much turtle
","okay thank you very much rococo
",['turtle'],['rococo'],['turtle'],[],[],yeah okay thank you very much ciao ciao,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_001090_002315,"this global speaking
","this is kuba speaking
",,['kuba'],[],[],[],hello this is kuba speaking.,['kuba'],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_005180_005765,"though
","though
",,,[],[],[],go adam.,['adam'],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_008090_009325,"yeah yeah no problem
","yeah yeah yeah no problem
",,,[],[],[],yeah yeah. no problem.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_061498_081075,"oh really cool idea um i like to experience we never i think we never get gave you a sports event or for answering questions we never did but the other day some people that actually i would like to watch can't ask you about i had this idea do you know monster claws
","oh really cool idea um i like to experience we never i think we never get give give advice for event or for answering questions we never did but the other day some people that actually i would like to ask ask you about i had this idea you know monster close
",,,[],[],[],really cool idea like the experience we never i think we never gave give a base for event or for answering questions. we never did but that there is something that i actually i would like to ask you about i had this idea. do you know masterclass?,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_085089_133723,"across yeah each each approach check where like the best breed like the best people in some articles field are providing a lecture in particles kill soldiers dates for example i dunno some some famous actors directors devils um oh i can remember the name our uh lectures directing things like that down so business lectures so be the g. or leadership or negotiation or marketing or setting stories and things like this i had this idea that maybe isn't give away we can we can get free like but you live subscription i'll that so
","across yeah you could probably check where like the best breed like the best people in some articles field are providing a lecture in their political scale soldiers dates for example i don't know some some famous actors directors devils um oh i can't remember the name of the yard a lecture directing things like that but they also business lectures be restricted g. or leadership or negotiation or marketing or getting stories and things like this i had this idea that maybe isn't give away we can we can get free like but usually subscription of that so
",,,[],[],[],masterclass? yeah. it's it's a project where like the best of breed like the the best people in some particular field are providing a lecture in their particular skill. so there is for example i don't know some some famous actors directors i think that was no i can't remember the name there are there are lectures of directing or things like that but there are also business lectures or business strategy or leadership or negotiation or marketing or telling stories. things like this i had this idea that maybe as a giveaway we can we can give free like but yearly subscription of that so.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_141180_142685,"that's what
","that's right
",,,[],[],[],yeah. there is that as well.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_167260_168305,"i
",,,,[],[],[],i i.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_169700_180655,"i would rather keep it like what we're done that like one hundred one hundred bucks shouldn't be too much i i think you can you can make it forty so occasion like some kind of um
","i would rather keep it like well we're done that like one hundred hundred bucks shouldn't be too much i i think you can you can make it forty so occasion like some kind of um
","[[], []]","[[], []]",[],[],[],i would rather keep it like lower than that like one hundred one hundred bucks should be not too much i think you can you can make it for this occasion like some kind of .,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_181610_187365,"just one are dare to have something interesting that they can get them and just one of them got
","just want these are there to have something interesting that they can get them and just one of them got
","[[], []]",[[]],[],[],[],we just want petr there to have something interesting that they can get and just one of them get it.,['petr'],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_188520_189425,"something like that
","something like that
",,,[],[],[],something like that.,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_235450_241995,"oh i just drop drop off line chocolate like performing immediately
","oh i just drop drop off line chocolate like performing biden
",,,[],[],[],yeah yeah. just drop drop us a line short one like one from immediately. okay?,[],[],[]
cs04M-RE2b493cdf4a29aa6262aa6d03800b2153_B_243540_245345,"saddam church church or
","saddam church church or
",,,[],[],[],thanks adam. tchuss. ciao ciao.,['adam'],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_001820_002595,"hello
","hello
",,,[],[],[],hello hello.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_007980_008765,"tell
","okay
",,,[],[],[],ciao ciao ciao.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_025320_025865,,,,,[],[],[],by.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_027150_029235,"oh nine
","oh nine
",,,[],[],[],no nine nine.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_043130_051935,"true so so if i put it this like really super interesting and i'm so sorry if i to be able to be i would be so worried about
","true so so it was like really super interesting and i'm so sorry if i'm able to be able to be there i would be so worried about
",,,[],[],[],sure sure sure so first of all it is like really super interesting and i am so sorry if i wont be able to be there i would be so sorry about it.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_052580_060685,"so um this company you know um they started the immigration the quarter court check in the country
","so um this company you know they started the immigration the quarter court check in the country
",,,[],[],[],so ehm this company you know they started the integration for the project in the country.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_061550_066465,"um or the in the beginning up through those back then
","i'm already in the beginning of those
",,,[],[],[],or it was in the beginning of two thousand nineteen.,[],[],['beginning of two thousand nineteen']
cs04M-RE369dd60dba400abac1067dd994882cda_B_067470_074055,"they did the first version over the uh integration that's already burger and it was presented to the customer
","they did the first division over the integration that's already burger and it was presented to the customer
",[[]],[[]],[],[],[],and they did the first version of the integration that already worked and was presented to the customer.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_075460_078915,"and that basically basis would be showing do recall
","and that seems to be showing do because
",,,[],[],[],and that is what they will be showing to michael.,['michael'],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_080140_081115,"and
","and
",,,[],[],[],and.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_081690_087985,"but uh yeah and the d._c. so of course something that's gonna be scaled beautiful river
","but uh yeah and this is of course something that's going to be skalka beautiful river
",,['skalka'],[],[],[],about a yeah and the this is of course something that can be scaled to the whole world.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_088950_091745,"but right now it's only local thing
","but right now it's only a local thing
",,,[],[],[],but right now it's only a local thing.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_093560_094735,"particular call
","particularly
",,,[],[],[],in the part of the country.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_104380_109335,"no no no no dated in the only that particular country do one project
","no no no no they didn't own a particular country do one project
",[[]],[[]],[],[],[],no no no no they didn't only that particular country to one project.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_149480_151655,"although it's it's they pick out
","although it's it's basically
",,,[],[],[],no no no it's they are prepared.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_152700_154085,"they both
","they both
",,,[],[],[],they are prepared for us.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_154990_157495,"yes so i i hope you guys go
","yeah i suppose so i hope you guys go
",,,[],[],[],yeah super so i hope you guys enjoy it.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_167690_173315,"yeah yeah yeah but but i built a boat later because i i'm sure
","yeah yeah yeah but but i feel guilty about it later because right now i'm sure
",,,[],[],[],yeah yeah. but but i will call you about it it a bit later because i have to run now i am sorry.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_175340_176305,"i have to run
","i have three
",,[[]],[],[],[],yeah i have to run.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_177460_181355,"i i i no no that's okay
","i rococo i i don't know but that's okay
",,,[],[],[],yeah sorry i will call you i will call you in the afternoon about that okay.,[],[],[]
cs04M-RE369dd60dba400abac1067dd994882cda_B_182440_183095,"sure
","sure
",,,[],[],[],bye cheers.,[],[],[]
cs04M-RE38aaddde0bfdfe51546a1f48f0022516_B_001480_002415,"this is that cool
","this is the kuba
",,['kuba'],[],[],[],this is jakub.,['jakub'],[],[]
cs04M-RE38aaddde0bfdfe51546a1f48f0022516_B_039830_053225,"yeah i'm sorry sorry just lumping uh again you you pitched me into into i'm shopping right now and i'm just going through ah through the cashier getting any please discuss the office later today
","yeah i'm just sort of just lumping uh again you you mean the industry i'm shopping right now and i'm just going to go through the cashier getting any please discuss the topic today
",,,[],[],[],ja yeah okay just sorry sorry just one thing again you you catch me in the in the shop i am shopping right now and i'm just going to the to the cashier can we please discuss it in the office later today.,[],[],['today']
cs04M-RE38aaddde0bfdfe51546a1f48f0022516_B_056310_062105,"yeah i would be be in the office uh from one o'clock so we can we can discuss it out you might be better
","yeah i i would be in the office ah from one o'clock so we can we can discuss about it might be better
",[[]],[[]],[],[],"[""one o'clock""]",yeah yeah i'll be i'll be in the office from one o'clock so we can we can discuss there so it may be better.,[],[],[]
cs04M-RE38aaddde0bfdfe51546a1f48f0022516_B_062680_066205,"philadelphia okay thank you pick your um soccer control
","coffee okay thank you pick your own time travel
",['philadelphia'],,[],['philadelphia'],[],can i have a coffee okay thank you thank you tchao tchao.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_002830_005105,"hi adam church or do you have a
","hi i'm rococo do you have many
",['adam'],['rococo'],[],[],[],hi adam sorry to interrupt you do you have a minute.,['adam'],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_009430_025675,"yeah okay i i i totally about something and you wouldn't believe believe me this is this is completely ridiculous about this is this is it so regarding your trip to eleventh than your business you know how cold it business so reports i dunno they like to travel reports
","yeah okay i i i kuki about something and you wouldn't believe believe me this is this is completely ridiculous about this is this is it so regarding tripped eleventh in your business you know what it's called biden a report on another like to travel reports
",[[]],,[],[],['eleventh'],yeah okay i i i call you about something and you will not believe believe me this is this is completely ridiculous. but this is this is it so regarding your trip to netherlands and your business you know how is it called the business report oh no no the travel report.,[],['netherlands'],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_026220_026795,"so
","so
",,,[],[],[],so.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_027480_028835,,"they send you a rule
",,,[],[],[],there is a new rule.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_029610_032945,"and this is coming from uh uh from the management
","and this is coming from the ah from the management
",,,[],[],[],and this is coming from from the management.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_033600_040355,"that when you make a trip to uh to a nice country with the nice beer
","that when you make a trip to a nice country too nice beer
",,,[],[],[],that when you make a trip to to a nice country with a nice beer.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_041340_043695,"you actually pay the company see
","you actually pay the company saeed
",,['saeed'],[],[],[],you actually pay the company fee.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_044170_049095,"because it's part of your life experience it's boca it's like a company benefits
","because it's part of your life experience it skalka it's like your your company benefits
",,,[],[],[],because its part of your like experience it's part it's like not your company benefit.,[],[],[]
cs04M-RE63fd4cc409a80d86f7511f5cda63c598_A_050580_051115,,"so
",,,[],[],[],so.,[],[],[]
